N;модел;mac;точен адрес ;Как се води;нод/захранване/контролна точка;Домакинства;дата на монтаж;забележка;GPS координати;GPS координати
65;;;ж.к.Западен парк бл.77 вх.А;Zapaden park bl.77 I;нод;1026;;;"42°41'55.26""С";" 23°17'4.97""И"
66;;;ж.к.Западен парк бл.77 вх.А;Zapaden park bl.77 II;нод;842;;;;
67;Motorola;00.23.ee.03.3a.de;ъгъла на ул.Булина ливада и ул.Могила;Krasna poliana do bl.36-37 I;нод;1409;28.09.2012;;"42°41'55.26""С";" 23°17'4.97""И"
68;;дублиран;ъгъла на ул.Булина ливада и ул.Могила;Krasna poliana do bl.36-37 II;нод;976;;;;
69;;;ж.к.Разсадника бл.10 вх.Д;Razsadnika bl.10 I;нод;1252;;;;
70;;;ж.к.Разсадника бл.10 вх.Д;Razsadnika bl.10 II;нод;1591;;;;
71;;няма ток;ж.к.Сердика бл.23 вх.Д;Serdika 23;нод;642;;;" 42°41'38.22""С";" 23°17'51.33""И"
72;;;ж.к.Разсадника бл.26 вх.Г;Razsadnika bl.26;нод;1619;;;;
73;Motorola;00.23.ed.d8.d3.da;ж.к.Сердика бл.15 вх.Б;Serdika bl.15A;нод;894;29.09.2012;;" 42°41'38.22""С";" 23°17'51.33""И"
74;;дублиран;ж.к.Сердика бл.15 вх.Б;Serdika bl.15A;нод;936;;;;
75;Motorola;00.23.ee.04.17.60;ъгъла на ул.Добротич и ул.Спас Вацов;Krasna poliana do bl.205 I;нод;798;28.09.2012;;"42°41'38.89""С";" 23°16'46.11""И"
76;;дублиран;ъгъла на ул.Добротич и ул.Спас Вацов;Krasna poliana do bl.205 II;нод;1094;;;;
77;Motorola;00.23.ee.03.b2.e0;ул.Одрин 67;Serdika (ul.Odrin);нод;2017;29.09.2012;;"42°41'58.42""С";"23°18'14.36""И"
78;;дублиран;ж.к.Красна поляна бл.329 вх.А;Krasna poliana bl.329A I;нод;1104;;;;
79;Motorola;00.23.ee.04.65.ae;ж.к.Западен парк бл2 ул.Суходолска;Zapaden park bl.2;нод;1437;28.09.2012;;" 42°42'6.26""С";" 23°17'1.22""И"
80;Motorola;00.23.ee.03.b0.dc;ж.к.Красна поляна бл.329 вх.А;Krasna poliana bl.329A II;нод;727;28.09.2012;;" 42°41'31.99""С";" 23°16'57.62""И"
81;Motorola;00.23.ed.d7.96.82;ж.к.Илинден бл.43 ;Ilinden bl43;нод;1910;28.09.2012;;" 42°42'11.78""С";" 23°17'25.59""И"
82;;;ж.к. Западен парк бл.42 вх.Б;Zapaden Park bl.42;нод;912;;;;
83;;няма ток;ъгъла наул.Цар Симеон и ул.Хубава Грозданка;Ilinden bl.124 I;нод;1097;;;;
84;;няма ток;ъгъла наул.Цар Симеон и ул.Хубава Грозданка;Ilinden bl.124 II;нод;742;;;;
85;;;ж.к.Разсадника бл.20А вх.Б;Rasadnika bl.20a I;нод;872;;;;
86;;;ж.к.Разсадника бл.20А вх.Б;Rasadnika bl.20a II;нод;1056;;;;
87;;няма ток;ъгъла на ул.Янко Стефнов и ул.Проф.Вайганд;Krasna poliana bl.17 I;нод;728;;;;
88;;няма ток;ъгъла на ул.Янко Стефнов и ул.Проф.Вайганд;Krasna poliana bl.17 II;нод;1113;;;;
89;;няма ток;ул.Враня 52А;ul. Vrania;нод;1310;;;;
90;;няма ток;ъгъла на ул.Н.Г.Столетов и ул. Иван Тургенев;Banishora bl.5A;нод;1812;;;;
91;;няма ток;ж.к.Банишора бл.17А, вх.А;Banishora bl.17 I;нод;1370;;;;
92;;няма ток;ж.к.Банишора бл.17А, вх.А;Banishora bl.17 II;нод;1658;;;;
93;Motorola;00.23.ee.03.56.9a;ж.к.Банишора бл.41А, вх.В;Banishora 41A I;нод;1420;29.09.2012;;" 42°42'36.85""С";" 23°18'48.21""И"
